# Command: python train_ditto.py --task Structured/Amazon-Google-kfull-s42 --batch_size 32 --max_len 256 --lr 3e-05 --n_epochs 15 --lm roberta --run_id 42 --logdir /content/drive/MyDrive/slr-experiment/models/checkpoints/Structured/Amazon-Google-kfull-s42 --save_model --da del --dk product
# cwd: /content/drive/MyDrive/slr-experiment/ditto

/usr/local/lib/python3.12/dist-packages/spacy/pipeline/lemmatizer.py:187: UserWarning: [W108] The rule-based lemmatizer did not find POS annotation for one or more tokens. Check that your pipeline includes components that assign token.pos, typically 'tagger'+'attribute_ruler' or 'morphologizer'.
  warnings.warn(Warnings.W108)
2026-06-22 05:43:42.859068: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
step: 0, loss: 0.5496163368225098
step: 10, loss: 0.543102502822876
step: 20, loss: 0.48742175102233887
step: 30, loss: 0.38991639018058777
step: 40, loss: 0.2952295243740082
step: 50, loss: 0.3054361641407013
step: 60, loss: 0.5696046948432922
step: 70, loss: 0.33396655321121216
step: 80, loss: 0.2593405842781067
step: 90, loss: 0.24508336186408997
step: 100, loss: 0.18342597782611847
step: 110, loss: 0.3221011161804199
step: 120, loss: 0.5716533660888672
step: 130, loss: 0.13959074020385742
step: 140, loss: 0.22131651639938354
step: 150, loss: 0.42013731598854065
step: 160, loss: 0.2812446653842926
step: 170, loss: 0.06886807084083557
step: 180, loss: 0.0944792777299881
step: 190, loss: 0.1918524205684662
step: 200, loss: 0.26589667797088623
step: 210, loss: 0.13719452917575836
epoch 1: dev_f1=0.6537102473498233, f1=0.6559139784946236, best_f1=0.6559139784946236
step: 0, loss: 0.12231900542974472
step: 10, loss: 0.1347087025642395
step: 20, loss: 0.3771592974662781
step: 30, loss: 0.17985481023788452
step: 40, loss: 0.10548336803913116
step: 50, loss: 0.15142934024333954
step: 60, loss: 0.2176307588815689
step: 70, loss: 0.02447982132434845
step: 80, loss: 0.26056748628616333
step: 90, loss: 0.18949532508850098
step: 100, loss: 0.2950951159000397
step: 110, loss: 0.13480599224567413
step: 120, loss: 0.03147284314036369
step: 130, loss: 0.06234800070524216
step: 140, loss: 0.14809519052505493
step: 150, loss: 0.27114126086235046
step: 160, loss: 0.15847134590148926
step: 170, loss: 0.1460619568824768
step: 180, loss: 0.026148417964577675
step: 190, loss: 0.11047440022230148
step: 200, loss: 0.2144228219985962
step: 210, loss: 0.17747335135936737
epoch 2: dev_f1=0.7459016393442623, f1=0.7125, best_f1=0.7125
step: 0, loss: 0.3047388195991516
step: 10, loss: 0.06012134626507759
step: 20, loss: 0.04433676600456238
step: 30, loss: 0.24308398365974426
step: 40, loss: 0.035218819975852966
step: 50, loss: 0.2127566933631897
step: 60, loss: 0.09992364048957825
step: 70, loss: 0.09711125493049622
step: 80, loss: 0.2258002758026123
step: 90, loss: 0.2111511379480362
step: 100, loss: 0.058719247579574585
step: 110, loss: 0.11535906791687012
step: 120, loss: 0.10588713735342026
step: 130, loss: 0.13062052428722382
step: 140, loss: 0.10969339311122894
step: 150, loss: 0.09976803511381149
step: 160, loss: 0.11285440623760223
step: 170, loss: 0.16131050884723663
step: 180, loss: 0.2344384789466858
step: 190, loss: 0.07461346685886383
step: 200, loss: 0.0926346480846405
step: 210, loss: 0.18474474549293518
epoch 3: dev_f1=0.7525562372188139, f1=0.7370600414078675, best_f1=0.7370600414078675
step: 0, loss: 0.0886375904083252
step: 10, loss: 0.05631453916430473
step: 20, loss: 0.12521496415138245
step: 30, loss: 0.09656912833452225
step: 40, loss: 0.059924136847257614
step: 50, loss: 0.05109032988548279
step: 60, loss: 0.10406029224395752
step: 70, loss: 0.04897671192884445
step: 80, loss: 0.08302269876003265
step: 90, loss: 0.17178814113140106
step: 100, loss: 0.1750897914171219
step: 110, loss: 0.0815444365143776
step: 120, loss: 0.18300172686576843
step: 130, loss: 0.3295314311981201
step: 140, loss: 0.08002593368291855
step: 150, loss: 0.021242570132017136
step: 160, loss: 0.08781493455171585
step: 170, loss: 0.08516223728656769
step: 180, loss: 0.17702090740203857
step: 190, loss: 0.2212044894695282
step: 200, loss: 0.3411872386932373
step: 210, loss: 0.1616312563419342
epoch 4: dev_f1=0.71875, f1=0.7095516569200779, best_f1=0.7370600414078675
step: 0, loss: 0.08419618010520935
step: 10, loss: 0.012439765967428684
step: 20, loss: 0.06539607048034668
step: 30, loss: 0.24588775634765625
step: 40, loss: 0.1090645119547844
step: 50, loss: 0.025632193312048912
step: 60, loss: 0.1445036083459854
step: 70, loss: 0.1769980639219284
step: 80, loss: 0.09563195705413818
step: 90, loss: 0.19715513288974762
step: 100, loss: 0.05933298170566559
step: 110, loss: 0.07911012321710587
step: 120, loss: 0.04323552921414375
step: 130, loss: 0.2521152198314667
step: 140, loss: 0.14343029260635376
step: 150, loss: 0.03911925107240677
step: 160, loss: 0.1630781888961792
step: 170, loss: 0.11977431178092957
step: 180, loss: 0.01530475728213787
step: 190, loss: 0.2405545562505722
step: 200, loss: 0.10563330352306366
step: 210, loss: 0.05735165998339653
epoch 5: dev_f1=0.7441860465116279, f1=0.7410526315789474, best_f1=0.7370600414078675
step: 0, loss: 0.11592525988817215
step: 10, loss: 0.03506294637918472
step: 20, loss: 0.017709126695990562
step: 30, loss: 0.08934105187654495
step: 40, loss: 0.305928498506546
step: 50, loss: 0.10416850447654724
step: 60, loss: 0.006219125352799892
step: 70, loss: 0.08144635707139969
step: 80, loss: 0.28350064158439636
step: 90, loss: 0.09002026170492172
step: 100, loss: 0.15500782430171967
step: 110, loss: 0.10793249309062958
step: 120, loss: 0.03988995403051376
step: 130, loss: 0.13605375587940216
step: 140, loss: 0.16476044058799744
step: 150, loss: 0.04745788872241974
step: 160, loss: 0.007698646746575832
step: 170, loss: 0.1579132080078125
step: 180, loss: 0.02986697107553482
step: 190, loss: 0.0937228575348854
step: 200, loss: 0.11130209267139435
step: 210, loss: 0.06190308928489685
epoch 6: dev_f1=0.7442748091603053, f1=0.7368421052631579, best_f1=0.7370600414078675
step: 0, loss: 0.19001315534114838
step: 10, loss: 0.09186989068984985
step: 20, loss: 0.06903347373008728
step: 30, loss: 0.13797703385353088
step: 40, loss: 0.006584974471479654
step: 50, loss: 0.08915785700082779
step: 60, loss: 0.04587388038635254
step: 70, loss: 0.021712912246584892
step: 80, loss: 0.09420482814311981
step: 90, loss: 0.17806337773799896
step: 100, loss: 0.032694730907678604
step: 110, loss: 0.19545459747314453
step: 120, loss: 0.06425768882036209
step: 130, loss: 0.012493736110627651
step: 140, loss: 0.09193425625562668
step: 150, loss: 0.03225275129079819
step: 160, loss: 0.03217639774084091
step: 170, loss: 0.029772676527500153
step: 180, loss: 0.010179271921515465
step: 190, loss: 0.2561190128326416
step: 200, loss: 0.09822265058755875
step: 210, loss: 0.12190593779087067
epoch 7: dev_f1=0.75, f1=0.7346938775510204, best_f1=0.7370600414078675
step: 0, loss: 0.007387581281363964
step: 10, loss: 0.049787819385528564
step: 20, loss: 0.02920166775584221
step: 30, loss: 0.015036103315651417
step: 40, loss: 0.06953553855419159
step: 50, loss: 0.05229339003562927
step: 60, loss: 0.08104963600635529
step: 70, loss: 0.11498299241065979
step: 80, loss: 0.03510104864835739
step: 90, loss: 0.2174796611070633
step: 100, loss: 0.019367018714547157
step: 110, loss: 0.029362186789512634
step: 120, loss: 0.05832061916589737
step: 130, loss: 0.013074084185063839
step: 140, loss: 0.017430981621146202
step: 150, loss: 0.20082971453666687
step: 160, loss: 0.03588974475860596
step: 170, loss: 0.08263343572616577
step: 180, loss: 0.02684803307056427
step: 190, loss: 0.029161103069782257
step: 200, loss: 0.04375138133764267
step: 210, loss: 0.012158678844571114
epoch 8: dev_f1=0.7535641547861507, f1=0.7415254237288136, best_f1=0.7415254237288136
step: 0, loss: 0.11309994012117386
step: 10, loss: 0.036915697157382965
step: 20, loss: 0.12764009833335876
step: 30, loss: 0.02701094187796116
step: 40, loss: 0.004271098878234625
step: 50, loss: 0.024373099207878113
step: 60, loss: 0.06426476687192917
step: 70, loss: 0.009744655340909958
step: 80, loss: 0.15614648163318634
step: 90, loss: 0.003894211258739233
step: 100, loss: 0.041972070932388306
step: 110, loss: 0.01772995851933956
step: 120, loss: 0.05307172238826752
step: 130, loss: 0.010283637791872025
step: 140, loss: 0.05892835557460785
step: 150, loss: 0.009701059199869633
step: 160, loss: 0.08974900841712952
step: 170, loss: 0.02177036739885807
step: 180, loss: 0.015774879604578018
step: 190, loss: 0.044044096022844315
step: 200, loss: 0.11319860816001892
step: 210, loss: 0.08677835762500763
epoch 9: dev_f1=0.762278978388998, f1=0.7411764705882353, best_f1=0.7411764705882353
step: 0, loss: 0.020437028259038925
step: 10, loss: 0.03824854642152786
step: 20, loss: 0.03403118625283241
step: 30, loss: 0.11888886243104935
step: 40, loss: 0.07043087482452393
step: 50, loss: 0.0111329210922122
step: 60, loss: 0.11551196128129959
step: 70, loss: 0.11045398563146591
step: 80, loss: 0.022985126823186874
step: 90, loss: 0.025056779384613037
step: 100, loss: 0.023720446974039078
step: 110, loss: 0.03955501317977905
step: 120, loss: 0.08549557626247406
step: 130, loss: 0.05234096944332123
step: 140, loss: 0.007137307897210121
step: 150, loss: 0.04970253258943558
step: 160, loss: 0.05752382427453995
step: 170, loss: 0.02616240084171295
step: 180, loss: 0.00986707117408514
step: 190, loss: 0.17413505911827087
step: 200, loss: 0.15729115903377533
step: 210, loss: 0.0061083631590008736
epoch 10: dev_f1=0.7632093933463796, f1=0.7514677103718199, best_f1=0.7514677103718199
step: 0, loss: 0.014823941513895988
step: 10, loss: 0.010983876883983612
step: 20, loss: 0.028015168383717537
step: 30, loss: 0.1293303370475769
step: 40, loss: 0.06836116313934326
step: 50, loss: 0.09583525359630585
step: 60, loss: 0.08173130452632904
step: 70, loss: 0.28873133659362793
step: 80, loss: 0.06937853246927261
step: 90, loss: 0.00845255609601736
step: 100, loss: 0.008395710960030556
step: 110, loss: 0.00753807183355093
step: 120, loss: 0.025416743010282516
step: 130, loss: 0.033990003168582916
step: 140, loss: 0.012326155789196491
step: 150, loss: 0.1263498216867447
step: 160, loss: 0.010659044608473778
step: 170, loss: 0.13824425637722015
step: 180, loss: 0.03948182612657547
step: 190, loss: 0.11371856927871704
step: 200, loss: 0.09418921172618866
step: 210, loss: 0.009463694877922535
epoch 11: dev_f1=0.7651821862348178, f1=0.7377049180327869, best_f1=0.7377049180327869
step: 0, loss: 0.06883428990840912
step: 10, loss: 0.031623732298612595
step: 20, loss: 0.04415437579154968
step: 30, loss: 0.002068476751446724
step: 40, loss: 0.03789617121219635
step: 50, loss: 0.1727660894393921
step: 60, loss: 0.019859161227941513
step: 70, loss: 0.025836478918790817
step: 80, loss: 0.01274725142866373
step: 90, loss: 0.041300807148218155
step: 100, loss: 0.011250538751482964
